QSFP_Port,QSFP_Lane,Quad,TX_Lane,TX_PN_Swap,RX_Lane,RX_PN_Swap,TX_Attn_Cu_0.5m,TX_Pre_Cu_0.5m,TX_Post_Cu_0.5m,TX_Attn_Cu_1m,TX_Pre_Cu_1m,TX_Post_Cu_1m,TX_Attn_Cu_3m,TX_Pre_Cu_3m,TX_Post_Cu_3m,TX_Attn_Cu_Loop_0dB,TX_Pre_Cu_Loop_0dB,TX_Post_Cu_Loop_0dB,TX_Attn_Opt,TX_Pre_Opt,TX_Post_Opt,Repeater,Egress_Repeater,Egress_Repeater_I2C_Addr,Egress_Repeater_Lane,Ingress_Repeater,Ingress_Repeater_I2C_Addr,Ingress_Repeater_Lane,Egress_EQ_BST1,Egress_EQ_BST2,Egress_EQ_BW,Egress_EQ_BST_BYPASS,Ingress_EQ_BST1,Ingress_EQ_BST2,Ingress_EQ_BW,Ingress_EQ_BST_BYPASS
1,0,23,2,Y,0,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,1,,3,Y,1,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,2,,0,Y,2,Y,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,3,,1,N,3,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
2,0,22,2,Y,0,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,1,,3,Y,1,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,2,,0,Y,2,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,3,,1,N,3,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
3,0,21,3,N,1,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,1,,2,N,0,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,2,,1,N,3,Y,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,3,,0,Y,2,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
4,0,20,2,Y,1,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,1,,3,Y,0,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,2,,0,Y,3,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,3,,1,N,2,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
5,0,19,2,Y,1,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,1,,3,Y,0,N,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
,2,,0,Y,3,Y,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,No,,,,,,,,,,,,,,
